2016-10-27T00:00:02: Error: ENOENT: no such file or directory, open '2016-10-27.json'
2016-10-27T00:00:02: 读取文件失败，可能是该文件不存在
2016-10-27T00:29:26: 读取文件成功
2016-10-27T00:29:29: 读取文件成功
2016-10-27T00:29:31: 读取文件成功
2016-10-27T00:29:35: 读取文件成功
2016-10-27T00:29:38: 读取文件成功
2016-10-27T00:29:42: 读取文件成功
2016-10-27T00:29:44: 读取文件成功
2016-10-27T00:29:47: 读取文件成功
2016-10-27T00:29:50: 读取文件成功
2016-10-27T00:29:55: 读取文件成功
2016-10-27T00:29:56: 读取文件成功
2016-10-27T00:29:59: 读取文件成功
2016-10-27T00:30:02: 读取文件成功
2016-10-27T00:30:05: 读取文件成功
2016-10-27T00:30:07: 读取文件成功
2016-10-27T00:30:11: 读取文件成功
2016-10-27T00:30:14: 读取文件成功
2016-10-27T00:30:16: 读取文件成功
2016-10-27T00:30:19: 读取文件成功
2016-10-27T00:30:24: 读取文件成功
2016-10-27T00:30:25: 读取文件成功
2016-10-27T00:30:29: 读取文件成功
2016-10-27T00:30:31: 读取文件成功
2016-10-27T00:30:34: 读取文件成功
2016-10-27T00:30:38: 读取文件成功
2016-10-27T00:30:41: 读取文件成功
2016-10-27T00:30:43: 读取文件成功
2016-10-27T00:30:46: 读取文件成功
2016-10-27T00:30:49: 读取文件成功
2016-10-27T00:30:52: 读取文件成功
2016-10-27T00:30:55: 读取文件成功
2016-10-27T00:30:58: 读取文件成功
2016-10-27T00:31:01: 读取文件成功
2016-10-27T00:31:05: 读取文件成功
2016-10-27T00:31:08: 读取文件成功
2016-10-27T00:31:10: 读取文件成功
2016-10-27T00:31:13: 读取文件成功
2016-10-27T00:31:17: 读取文件成功
2016-10-27T00:31:19: 读取文件成功
2016-10-27T00:31:23: 读取文件成功
2016-10-27T00:31:26: 读取文件成功
2016-10-27T00:31:29: 读取文件成功
2016-10-27T00:31:32: 读取文件成功
2016-10-27T00:31:35: 读取文件成功
2016-10-27T00:31:38: 读取文件成功
2016-10-27T00:31:41: 读取文件成功
2016-10-27T00:31:44: 读取文件成功
2016-10-27T00:31:47: 读取文件成功
2016-10-27T00:31:50: 读取文件成功
2016-10-27T00:31:53: 读取文件成功
2016-10-27T00:31:56: 读取文件成功
2016-10-27T00:31:59: 读取文件成功
2016-10-27T00:32:02: 读取文件成功
2016-10-27T00:32:05: 读取文件成功
2016-10-27T00:32:08: 读取文件成功
2016-10-27T00:32:11: 读取文件成功
2016-10-27T00:32:14: 读取文件成功
2016-10-27T00:32:17: 读取文件成功
2016-10-27T00:32:20: 读取文件成功
2016-10-27T00:32:23: 读取文件成功
2016-10-27T00:32:26: 读取文件成功
2016-10-27T00:32:29: 读取文件成功
2016-10-27T00:32:32: 读取文件成功
